{'sample_size': 500, 'difference': 0, 'noise': 0, 'n': 10, 'alpha': 0.2, 'shap_error': 0.016025430156132066, 'shap_norm_sq': 6.399999999999997, 'weighted_error': 1.0064068824981127, 'gamma': 0.06250000000000001}
{'sample_size': 500, 'difference': 0, 'noise': 0, 'n': 10, 'alpha': 0.3, 'shap_error': 0.024938821749856774, 'shap_norm_sq': 4.9, 'weighted_error': 1.0246669184158874, 'gamma': 0.18367346938775497}
{'sample_size': 500, 'difference': 0, 'noise': 0, 'n': 10, 'alpha': 0.4, 'shap_error': 0.031802713531018045, 'shap_norm_sq': 3.6, 'weighted_error': 1.0090561054447909, 'gamma': 0.4444444444444443}
{'sample_size': 500, 'difference': 0, 'noise': 0, 'n': 10, 'alpha': 0.5, 'shap_error': 0.0817674811678813, 'shap_norm_sq': 2.499999999999998, 'weighted_error': 1.0417674811678814, 'gamma': 1.0000000000000007}
{'sample_size': 500, 'difference': 0, 'noise': 0, 'n': 10, 'alpha': 0.6, 'shap_error': 0.07611440103749306, 'shap_norm_sq': 1.5999999999999974, 'weighted_error': 1.0060508449055527, 'gamma': 2.2500000000000018}
{'sample_size': 500, 'difference': 0, 'noise': 0, 'n': 10, 'alpha': 0.7, 'shap_error': 0.20154411272345096, 'shap_norm_sq': 0.8999999999999986, 'weighted_error': 1.0166101431532872, 'gamma': 5.444444444444452}
{'sample_size': 500, 'difference': 0, 'noise': 0, 'n': 10, 'alpha': 0.8, 'shap_error': 0.46008865646018665, 'shap_norm_sq': 0.39999999999999775, 'weighted_error': 1.0131305410287614, 'gamma': 16.00000000000009}
{'sample_size': 500, 'difference': 0, 'noise': 0, 'n': 10, 'alpha': 0.2, 'shap_error': 0.016271193107253987, 'shap_norm_sq': 6.399999999999997, 'weighted_error': 1.0103390897160638, 'gamma': 0.06250000000000001}
{'sample_size': 500, 'difference': 0, 'noise': 0, 'n': 10, 'alpha': 0.3, 'shap_error': 0.023564895063120834, 'shap_norm_sq': 4.9, 'weighted_error': 1.0171866508992138, 'gamma': 0.18367346938775497}
{'sample_size': 500, 'difference': 0, 'noise': 0, 'n': 10, 'alpha': 0.4, 'shap_error': 0.030248176831949202, 'shap_norm_sq': 3.6, 'weighted_error': 1.0055583978718856, 'gamma': 0.4444444444444443}
{'sample_size': 500, 'difference': 0, 'noise': 0, 'n': 10, 'alpha': 0.5, 'shap_error': 0.045581965941822976, 'shap_norm_sq': 2.499999999999998, 'weighted_error': 1.0055819659418228, 'gamma': 1.0000000000000007}
{'sample_size': 500, 'difference': 0, 'noise': 0, 'n': 10, 'alpha': 0.6, 'shap_error': 0.10494657490029789, 'shap_norm_sq': 1.5999999999999974, 'weighted_error': 1.0188651444001326, 'gamma': 2.2500000000000018}
{'sample_size': 500, 'difference': 0, 'noise': 0, 'n': 10, 'alpha': 0.7, 'shap_error': 0.27387857734937565, 'shap_norm_sq': 0.8999999999999986, 'weighted_error': 1.0298960652274367, 'gamma': 5.444444444444452}
{'sample_size': 500, 'difference': 0, 'noise': 0, 'n': 10, 'alpha': 0.8, 'shap_error': 0.658769638034088, 'shap_norm_sq': 0.39999999999999775, 'weighted_error': 1.0255481023771307, 'gamma': 16.00000000000009}
{'sample_size': 500, 'difference': 0, 'noise': 0, 'n': 10, 'alpha': 0.2, 'shap_error': 0.016624852638254684, 'shap_norm_sq': 6.399999999999997, 'weighted_error': 1.0159976422120742, 'gamma': 0.06250000000000001}
{'sample_size': 500, 'difference': 0, 'noise': 0, 'n': 10, 'alpha': 0.3, 'shap_error': 0.0225714305279107, 'shap_norm_sq': 4.9, 'weighted_error': 1.0117777884297365, 'gamma': 0.18367346938775497}
{'sample_size': 500, 'difference': 0, 'noise': 0, 'n': 10, 'alpha': 0.4, 'shap_error': 0.0328082072840817, 'shap_norm_sq': 3.6, 'weighted_error': 1.0113184663891839, 'gamma': 0.4444444444444443}
{'sample_size': 500, 'difference': 0, 'noise': 0, 'n': 10, 'alpha': 0.5, 'shap_error': 0.06689071824440822, 'shap_norm_sq': 2.499999999999998, 'weighted_error': 1.026890718244408, 'gamma': 1.0000000000000007}
{'sample_size': 500, 'difference': 0, 'noise': 0, 'n': 10, 'alpha': 0.6, 'shap_error': 0.09055417760680173, 'shap_norm_sq': 1.5999999999999974, 'weighted_error': 1.0124685233808013, 'gamma': 2.2500000000000018}
{'sample_size': 500, 'difference': 0, 'noise': 0, 'n': 10, 'alpha': 0.7, 'shap_error': 0.16940497238592456, 'shap_norm_sq': 0.8999999999999986, 'weighted_error': 1.0107070357443535, 'gamma': 5.444444444444452}
{'sample_size': 500, 'difference': 0, 'noise': 0, 'n': 10, 'alpha': 0.8, 'shap_error': 0.39927905746799264, 'shap_norm_sq': 0.39999999999999775, 'weighted_error': 1.0093299410917491, 'gamma': 16.00000000000009}
{'sample_size': 500, 'difference': 0, 'noise': 0, 'n': 10, 'alpha': 0.2, 'shap_error': 0.016401399674349663, 'shap_norm_sq': 6.399999999999997, 'weighted_error': 1.0124223947895952, 'gamma': 0.06250000000000001}
{'sample_size': 500, 'difference': 0, 'noise': 0, 'n': 10, 'alpha': 0.3, 'shap_error': 0.02073552844889344, 'shap_norm_sq': 4.9, 'weighted_error': 1.001782321555087, 'gamma': 0.18367346938775497}
