{'sample_size': 500, 'difference': -8, 'noise': 0, 'n': 10, 'alpha': 0.2, 'shap_error': 0.015643604527114413, 'shap_norm_sq': 6.399999999999997, 'weighted_error': 1.0002976724338315, 'gamma': 0.06250000000000001}
{'sample_size': 500, 'difference': 36, 'noise': 0, 'n': 10, 'alpha': 0.3, 'shap_error': 0.02049475016928352, 'shap_norm_sq': 4.9, 'weighted_error': 1.0004714175883214, 'gamma': 0.18367346938775497}
{'sample_size': 500, 'difference': -8, 'noise': 0, 'n': 10, 'alpha': 0.4, 'shap_error': 0.028138161291130958, 'shap_norm_sq': 3.6, 'weighted_error': 1.0008108629050445, 'gamma': 0.4444444444444443}
{'sample_size': 500, 'difference': -20, 'noise': 0, 'n': 10, 'alpha': 0.5, 'shap_error': 0.04059463820134401, 'shap_norm_sq': 2.499999999999998, 'weighted_error': 1.000594638201344, 'gamma': 1.0000000000000007}
{'sample_size': 500, 'difference': 18, 'noise': 0, 'n': 10, 'alpha': 0.6, 'shap_error': 0.06383433210300732, 'shap_norm_sq': 1.5999999999999974, 'weighted_error': 1.0005930364902256, 'gamma': 2.2500000000000018}
{'sample_size': 500, 'difference': -34, 'noise': 0, 'n': 10, 'alpha': 0.7, 'shap_error': 0.11667892007509006, 'shap_norm_sq': 0.8999999999999986, 'weighted_error': 1.001022658789302, 'gamma': 5.444444444444452}
{'sample_size': 500, 'difference': 24, 'noise': 0, 'n': 10, 'alpha': 0.8, 'shap_error': 0.26426138184510206, 'shap_norm_sq': 0.39999999999999775, 'weighted_error': 1.000891336365319, 'gamma': 16.00000000000009}
{'sample_size': 500, 'difference': -6, 'noise': 0, 'n': 10, 'alpha': 0.2, 'shap_error': 0.01564701391817907, 'shap_norm_sq': 6.399999999999997, 'weighted_error': 1.0003522226908654, 'gamma': 0.06250000000000001}
{'sample_size': 500, 'difference': 8, 'noise': 0, 'n': 10, 'alpha': 0.3, 'shap_error': 0.020650786112739062, 'shap_norm_sq': 4.9, 'weighted_error': 1.0013209466138027, 'gamma': 0.18367346938775497}
{'sample_size': 500, 'difference': 8, 'noise': 0, 'n': 10, 'alpha': 0.4, 'shap_error': 0.028059951538768675, 'shap_norm_sq': 3.6, 'weighted_error': 1.00063489096223, 'gamma': 0.4444444444444443}
{'sample_size': 500, 'difference': -8, 'noise': 0, 'n': 10, 'alpha': 0.5, 'shap_error': 0.0408905737860891, 'shap_norm_sq': 2.499999999999998, 'weighted_error': 1.0008905737860891, 'gamma': 1.0000000000000007}
{'sample_size': 500, 'difference': 32, 'noise': 0, 'n': 10, 'alpha': 0.6, 'shap_error': 0.06429253934755921, 'shap_norm_sq': 1.5999999999999974, 'weighted_error': 1.0007966841544709, 'gamma': 2.2500000000000018}
{'sample_size': 500, 'difference': -2, 'noise': 0, 'n': 10, 'alpha': 0.7, 'shap_error': 0.11825098500204345, 'shap_norm_sq': 0.8999999999999986, 'weighted_error': 1.0013114054085384, 'gamma': 5.444444444444452}
{'sample_size': 500, 'difference': 6, 'noise': 0, 'n': 10, 'alpha': 0.8, 'shap_error': 0.26466867890767226, 'shap_norm_sq': 0.39999999999999775, 'weighted_error': 1.0009167924317295, 'gamma': 16.00000000000009}
{'sample_size': 500, 'difference': -8, 'noise': 0, 'n': 10, 'alpha': 0.2, 'shap_error': 0.01572349796063175, 'shap_norm_sq': 6.399999999999997, 'weighted_error': 1.001575967370108, 'gamma': 0.06250000000000001}
