{'sample_size': 500, 'difference': 0, 'noise': 0, 'n': 12, 'alpha': 0.2, 'shap_error': 0.010895593512893844, 'shap_norm_sq': 7.680000000000017, 'weighted_error': 1.0007183850951886, 'gamma': 0.06249999999999987}
{'sample_size': 500, 'difference': 0, 'noise': 0, 'n': 12, 'alpha': 0.3, 'shap_error': 0.014256821482216273, 'shap_norm_sq': 5.880000000000017, 'weighted_error': 1.0004599786871278, 'gamma': 0.1836734693877546}
{'sample_size': 500, 'difference': 0, 'noise': 0, 'n': 12, 'alpha': 0.4, 'shap_error': 0.019759282043073718, 'shap_norm_sq': 4.319999999999995, 'weighted_error': 1.0010556068191379, 'gamma': 0.4444444444444451}
{'sample_size': 500, 'difference': 0, 'noise': 0, 'n': 12, 'alpha': 0.5, 'shap_error': 0.02833437741563935, 'shap_norm_sq': 3.000000000000004, 'weighted_error': 1.0005565996378614, 'gamma': 0.9999999999999984}
{'sample_size': 500, 'difference': 0, 'noise': 0, 'n': 12, 'alpha': 0.6, 'shap_error': 0.04500841752747343, 'shap_norm_sq': 1.920000000000003, 'weighted_error': 1.0007136176665314, 'gamma': 2.249999999999996}
{'sample_size': 500, 'difference': 0, 'noise': 0, 'n': 12, 'alpha': 0.7, 'shap_error': 0.08575622280154807, 'shap_norm_sq': 1.0800000000000078, 'weighted_error': 1.0015788073626426, 'gamma': 5.444444444444405}
{'sample_size': 500, 'difference': 0, 'noise': 0, 'n': 12, 'alpha': 0.8, 'shap_error': 0.2073631394494053, 'shap_norm_sq': 0.4800000000000006, 'weighted_error': 1.0021095017711432, 'gamma': 15.99999999999999}
{'sample_size': 500, 'difference': 0, 'noise': 0, 'n': 12, 'alpha': 0.2, 'shap_error': 0.010890365863528272, 'shap_norm_sq': 7.680000000000017, 'weighted_error': 1.000634742705339, 'gamma': 0.06249999999999987}
{'sample_size': 500, 'difference': 0, 'noise': 0, 'n': 12, 'alpha': 0.3, 'shap_error': 0.01427592489943483, 'shap_norm_sq': 5.880000000000017, 'weighted_error': 1.0005639861808728, 'gamma': 0.1836734693877546}
{'sample_size': 500, 'difference': 0, 'noise': 0, 'n': 12, 'alpha': 0.4, 'shap_error': 0.019880577194692682, 'shap_norm_sq': 4.319999999999995, 'weighted_error': 1.00132852091028, 'gamma': 0.4444444444444451}
{'sample_size': 500, 'difference': 0, 'noise': 0, 'n': 12, 'alpha': 0.5, 'shap_error': 0.028760596296605698, 'shap_norm_sq': 3.000000000000004, 'weighted_error': 1.0009828185188279, 'gamma': 0.9999999999999984}
{'sample_size': 500, 'difference': 0, 'noise': 0, 'n': 12, 'alpha': 0.6, 'shap_error': 0.04631951658167407, 'shap_norm_sq': 1.920000000000003, 'weighted_error': 1.001296328357287, 'gamma': 2.249999999999996}
{'sample_size': 500, 'difference': 0, 'noise': 0, 'n': 12, 'alpha': 0.7, 'shap_error': 0.08166670011321034, 'shap_norm_sq': 1.0800000000000078, 'weighted_error': 1.0008276705423353, 'gamma': 5.444444444444405}
{'sample_size': 500, 'difference': 0, 'noise': 0, 'n': 12, 'alpha': 0.8, 'shap_error': 0.1839705636479394, 'shap_norm_sq': 0.4800000000000006, 'weighted_error': 1.0006474657835518, 'gamma': 15.99999999999999}
{'sample_size': 500, 'difference': 0, 'noise': 0, 'n': 12, 'alpha': 0.2, 'shap_error': 0.010916302902131816, 'shap_norm_sq': 7.680000000000017, 'weighted_error': 1.0010497353229963, 'gamma': 0.06249999999999987}
{'sample_size': 500, 'difference': 0, 'noise': 0, 'n': 12, 'alpha': 0.3, 'shap_error': 0.014376673673546614, 'shap_norm_sq': 5.880000000000017, 'weighted_error': 1.0011125072843707, 'gamma': 0.1836734693877546}
