{'sample_size': 500, 'difference': 0, 'noise': 0, 'n': 14, 'alpha': 0.2, 'shap_error': 0.01012130063909045, 'shap_norm_sq': 8.959999999999997, 'weighted_error': 1.0343897898172814, 'gamma': 0.0625000000000001}
{'sample_size': 500, 'difference': 0, 'noise': 0, 'n': 14, 'alpha': 0.3, 'shap_error': 0.01364710575139495, 'shap_norm_sq': 6.859999999999986, 'weighted_error': 1.017611566687299, 'gamma': 0.18367346938775558}
{'sample_size': 500, 'difference': 0, 'noise': 0, 'n': 14, 'alpha': 0.4, 'shap_error': 0.04515204157619571, 'shap_norm_sq': 5.04, 'weighted_error': 1.0697043384443998, 'gamma': 0.44444444444444486}
{'sample_size': 500, 'difference': 0, 'noise': 0, 'n': 14, 'alpha': 0.5, 'shap_error': 0.04113548860728255, 'shap_norm_sq': 3.4999999999999964, 'weighted_error': 1.0207273253419762, 'gamma': 1.0000000000000018}
{'sample_size': 500, 'difference': 0, 'noise': 0, 'n': 14, 'alpha': 0.6, 'shap_error': 0.08113804412227614, 'shap_norm_sq': 2.2399999999999967, 'weighted_error': 1.021889017342326, 'gamma': 2.250000000000004}
{'sample_size': 500, 'difference': 0, 'noise': 0, 'n': 14, 'alpha': 0.7, 'shap_error': 0.3141310768531572, 'shap_norm_sq': 1.2599999999999971, 'weighted_error': 1.0472852165315456, 'gamma': 5.444444444444458}
{'sample_size': 500, 'difference': 0, 'noise': 0, 'n': 14, 'alpha': 0.8, 'shap_error': 0.5554331159314153, 'shap_norm_sq': 0.5599999999999967, 'weighted_error': 1.0267426309702024, 'gamma': 16.000000000000096}
{'sample_size': 500, 'difference': 0, 'noise': 0, 'n': 14, 'alpha': 0.2, 'shap_error': 0.010825883202173142, 'shap_norm_sq': 8.959999999999997, 'weighted_error': 1.0456631108266055, 'gamma': 0.0625000000000001}
{'sample_size': 500, 'difference': 0, 'noise': 0, 'n': 14, 'alpha': 0.3, 'shap_error': 0.018984839908832134, 'shap_norm_sq': 6.859999999999986, 'weighted_error': 1.0466725637666776, 'gamma': 0.18367346938775558}
{'sample_size': 500, 'difference': 0, 'noise': 0, 'n': 14, 'alpha': 0.4, 'shap_error': 0.024070465293552754, 'shap_norm_sq': 5.04, 'weighted_error': 1.022270791808453, 'gamma': 0.44444444444444486}
{'sample_size': 500, 'difference': 0, 'noise': 0, 'n': 14, 'alpha': 0.5, 'shap_error': 0.04337904432250475, 'shap_norm_sq': 3.4999999999999964, 'weighted_error': 1.0229708810571982, 'gamma': 1.0000000000000018}
{'sample_size': 500, 'difference': 0, 'noise': 0, 'n': 14, 'alpha': 0.6, 'shap_error': 0.11125166061595393, 'shap_norm_sq': 2.2399999999999967, 'weighted_error': 1.0352728468950718, 'gamma': 2.250000000000004}
{'sample_size': 500, 'difference': 0, 'noise': 0, 'n': 14, 'alpha': 0.7, 'shap_error': 0.1881328984473643, 'shap_norm_sq': 1.2599999999999971, 'weighted_error': 1.0241426939672167, 'gamma': 5.444444444444458}
{'sample_size': 500, 'difference': 0, 'noise': 0, 'n': 14, 'alpha': 0.8, 'shap_error': 0.7599913841311029, 'shap_norm_sq': 0.5599999999999967, 'weighted_error': 1.0395275227326835, 'gamma': 16.000000000000096}
{'sample_size': 500, 'difference': 0, 'noise': 0, 'n': 14, 'alpha': 0.2, 'shap_error': 0.012410962919120867, 'shap_norm_sq': 8.959999999999997, 'weighted_error': 1.0710243862977675, 'gamma': 0.0625000000000001}
{'sample_size': 500, 'difference': 0, 'noise': 0, 'n': 14, 'alpha': 0.3, 'shap_error': 0.016059221639113917, 'shap_norm_sq': 6.859999999999986, 'weighted_error': 1.030744197631546, 'gamma': 0.18367346938775558}
{'sample_size': 500, 'difference': 0, 'noise': 0, 'n': 14, 'alpha': 0.4, 'shap_error': 0.03104517800272655, 'shap_norm_sq': 5.04, 'weighted_error': 1.037963895404095, 'gamma': 0.44444444444444486}
{'sample_size': 500, 'difference': 0, 'noise': 0, 'n': 14, 'alpha': 0.5, 'shap_error': 0.031103453230579038, 'shap_norm_sq': 3.4999999999999964, 'weighted_error': 1.0106952899652721, 'gamma': 1.0000000000000018}
{'sample_size': 500, 'difference': 0, 'noise': 0, 'n': 14, 'alpha': 0.6, 'shap_error': 0.09244572824833616, 'shap_norm_sq': 2.2399999999999967, 'weighted_error': 1.0269146547316863, 'gamma': 2.250000000000004}
{'sample_size': 500, 'difference': 0, 'noise': 0, 'n': 14, 'alpha': 0.7, 'shap_error': 0.23270449090705667, 'shap_norm_sq': 1.2599999999999971, 'weighted_error': 1.0323293129904252, 'gamma': 5.444444444444458}
{'sample_size': 500, 'difference': 0, 'noise': 0, 'n': 14, 'alpha': 0.8, 'shap_error': 0.48464142567980373, 'shap_norm_sq': 0.5599999999999967, 'weighted_error': 1.0223181503294767, 'gamma': 16.000000000000096}
{'sample_size': 500, 'difference': 0, 'noise': 0, 'n': 14, 'alpha': 0.2, 'shap_error': 0.01131727115383739, 'shap_norm_sq': 8.959999999999997, 'weighted_error': 1.0535253180532311, 'gamma': 0.0625000000000001}
