{'sample_size': 500, 'difference': 0, 'noise': 0, 'n': 14, 'alpha': 0.2, 'shap_error': 0.008324384961309331, 'shap_norm_sq': 8.959999999999997, 'weighted_error': 1.0056391389727846, 'gamma': 0.0625000000000001}
{'sample_size': 500, 'difference': 0, 'noise': 0, 'n': 14, 'alpha': 0.3, 'shap_error': 0.01082922472478359, 'shap_norm_sq': 6.859999999999986, 'weighted_error': 1.0022697699868588, 'gamma': 0.18367346938775558}
{'sample_size': 500, 'difference': 0, 'noise': 0, 'n': 14, 'alpha': 0.4, 'shap_error': 0.015491282392537576, 'shap_norm_sq': 5.04, 'weighted_error': 1.0029676302811685, 'gamma': 0.44444444444444486}
{'sample_size': 500, 'difference': 0, 'noise': 0, 'n': 14, 'alpha': 0.5, 'shap_error': 0.022214081280111753, 'shap_norm_sq': 3.4999999999999964, 'weighted_error': 1.0018059180148051, 'gamma': 1.0000000000000018}
{'sample_size': 500, 'difference': 0, 'noise': 0, 'n': 14, 'alpha': 0.6, 'shap_error': 0.04141118285279086, 'shap_norm_sq': 2.2399999999999967, 'weighted_error': 1.0042326345558883, 'gamma': 2.250000000000004}
{'sample_size': 500, 'difference': 0, 'noise': 0, 'n': 14, 'alpha': 0.7, 'shap_error': 0.0727157603228418, 'shap_norm_sq': 1.2599999999999971, 'weighted_error': 1.0029436277810795, 'gamma': 5.444444444444458}
{'sample_size': 500, 'difference': 0, 'noise': 0, 'n': 14, 'alpha': 0.8, 'shap_error': 0.14988499059828408, 'shap_norm_sq': 0.5599999999999967, 'weighted_error': 1.0013958731368824, 'gamma': 16.000000000000096}
{'sample_size': 500, 'difference': 0, 'noise': 0, 'n': 14, 'alpha': 0.2, 'shap_error': 0.008126833138767916, 'shap_norm_sq': 8.959999999999997, 'weighted_error': 1.0024783098121206, 'gamma': 0.0625000000000001}
{'sample_size': 500, 'difference': 0, 'noise': 0, 'n': 14, 'alpha': 0.3, 'shap_error': 0.010949308901648294, 'shap_norm_sq': 6.859999999999986, 'weighted_error': 1.0029235616164558, 'gamma': 0.18367346938775558}
{'sample_size': 500, 'difference': 0, 'noise': 0, 'n': 14, 'alpha': 0.4, 'shap_error': 0.015941331907807537, 'shap_norm_sq': 5.04, 'weighted_error': 1.003980241690526, 'gamma': 0.44444444444444486}
{'sample_size': 500, 'difference': 0, 'noise': 0, 'n': 14, 'alpha': 0.5, 'shap_error': 0.023486728542539248, 'shap_norm_sq': 3.4999999999999964, 'weighted_error': 1.003078565277233, 'gamma': 1.0000000000000018}
{'sample_size': 500, 'difference': 0, 'noise': 0, 'n': 14, 'alpha': 0.6, 'shap_error': 0.0374713611058083, 'shap_norm_sq': 2.2399999999999967, 'weighted_error': 1.0024816026683416, 'gamma': 2.250000000000004}
{'sample_size': 500, 'difference': 0, 'noise': 0, 'n': 14, 'alpha': 0.7, 'shap_error': 0.06818955825774686, 'shap_norm_sq': 1.2599999999999971, 'weighted_error': 1.0021122845446337, 'gamma': 5.444444444444458}
{'sample_size': 500, 'difference': 0, 'noise': 0, 'n': 14, 'alpha': 0.8, 'shap_error': 0.1571820518269124, 'shap_norm_sq': 0.5599999999999967, 'weighted_error': 1.0018519394636713, 'gamma': 16.000000000000096}
