{'sample_size': 500, 'difference': 0, 'noise': 0, 'n': 16, 'alpha': 0.2, 'shap_error': 0.006930350455267347, 'shap_norm_sq': 10.239999999999993, 'weighted_error': 1.0132293572842739, 'gamma': 0.06250000000000003}
{'sample_size': 500, 'difference': 0, 'noise': 0, 'n': 16, 'alpha': 0.3, 'shap_error': 0.010925245261978302, 'shap_norm_sq': 7.84000000000001, 'weighted_error': 1.0160791130929927, 'gamma': 0.18367346938775472}
{'sample_size': 500, 'difference': 0, 'noise': 0, 'n': 16, 'alpha': 0.4, 'shap_error': 0.01651818302937531, 'shap_norm_sq': 5.760000000000002, 'weighted_error': 1.0127518493160939, 'gamma': 0.4444444444444443}
{'sample_size': 500, 'difference': 0, 'noise': 0, 'n': 16, 'alpha': 0.5, 'shap_error': 0.027328320354130093, 'shap_norm_sq': 3.999999999999991, 'weighted_error': 1.01170332035413, 'gamma': 1.0000000000000018}
{'sample_size': 500, 'difference': 0, 'noise': 0, 'n': 16, 'alpha': 0.6, 'shap_error': 0.04802565563091804, 'shap_norm_sq': 2.5599999999999956, 'weighted_error': 1.0104940413915195, 'gamma': 2.2500000000000027}
{'sample_size': 500, 'difference': 0, 'noise': 0, 'n': 16, 'alpha': 0.7, 'shap_error': 0.13181084173025834, 'shap_norm_sq': 1.4400000000000075, 'weighted_error': 1.0162382158280068, 'gamma': 5.444444444444414}
{'sample_size': 500, 'difference': 0, 'noise': 0, 'n': 16, 'alpha': 0.8, 'shap_error': 0.3762962159074641, 'shap_norm_sq': 0.640000000000003, 'weighted_error': 1.0174149978692162, 'gamma': 15.999999999999927}
{'sample_size': 500, 'difference': 0, 'noise': 0, 'n': 16, 'alpha': 0.2, 'shap_error': 0.00737645518875267, 'shap_norm_sq': 10.239999999999993, 'weighted_error': 1.0203670330200387, 'gamma': 0.06250000000000003}
{'sample_size': 500, 'difference': 0, 'noise': 0, 'n': 16, 'alpha': 0.3, 'shap_error': 0.010275495860975368, 'shap_norm_sq': 7.84000000000001, 'weighted_error': 1.0125415885764215, 'gamma': 0.18367346938775472}
{'sample_size': 500, 'difference': 0, 'noise': 0, 'n': 16, 'alpha': 0.4, 'shap_error': 0.016795044219006346, 'shap_norm_sq': 5.760000000000002, 'weighted_error': 1.013374786992764, 'gamma': 0.4444444444444443}
{'sample_size': 500, 'difference': 0, 'noise': 0, 'n': 16, 'alpha': 0.5, 'shap_error': 0.02737260579681149, 'shap_norm_sq': 3.999999999999991, 'weighted_error': 1.011747605796811, 'gamma': 1.0000000000000018}
{'sample_size': 500, 'difference': 0, 'noise': 0, 'n': 16, 'alpha': 0.6, 'shap_error': 0.05297087890209179, 'shap_norm_sq': 2.5599999999999956, 'weighted_error': 1.0126919184009293, 'gamma': 2.2500000000000027}
{'sample_size': 500, 'difference': 0, 'noise': 0, 'n': 16, 'alpha': 0.7, 'shap_error': 0.12353911415054387, 'shap_norm_sq': 1.4400000000000075, 'weighted_error': 1.0147189189256107, 'gamma': 5.444444444444414}
{'sample_size': 500, 'difference': 0, 'noise': 0, 'n': 16, 'alpha': 0.8, 'shap_error': 0.5199493837829473, 'shap_norm_sq': 0.640000000000003, 'weighted_error': 1.026393320861434, 'gamma': 15.999999999999927}
{'sample_size': 500, 'difference': 0, 'noise': 0, 'n': 16, 'alpha': 0.2, 'shap_error': 0.006920084020355248, 'shap_norm_sq': 10.239999999999993, 'weighted_error': 1.013065094325682, 'gamma': 0.06250000000000003}
{'sample_size': 500, 'difference': 0, 'noise': 0, 'n': 16, 'alpha': 0.3, 'shap_error': 0.010989722665616142, 'shap_norm_sq': 7.84000000000001, 'weighted_error': 1.0164301567350202, 'gamma': 0.18367346938775472}
{'sample_size': 500, 'difference': 0, 'noise': 0, 'n': 16, 'alpha': 0.4, 'shap_error': 0.018502570397688066, 'shap_norm_sq': 5.760000000000002, 'weighted_error': 1.0172167208947978, 'gamma': 0.4444444444444443}
{'sample_size': 500, 'difference': 0, 'noise': 0, 'n': 16, 'alpha': 0.5, 'shap_error': 0.03254246393981314, 'shap_norm_sq': 3.999999999999991, 'weighted_error': 1.0169174639398124, 'gamma': 1.0000000000000018}
{'sample_size': 500, 'difference': 0, 'noise': 0, 'n': 16, 'alpha': 0.6, 'shap_error': 0.06059949098195264, 'shap_norm_sq': 2.5599999999999956, 'weighted_error': 1.016082412658646, 'gamma': 2.2500000000000027}
{'sample_size': 500, 'difference': 0, 'noise': 0, 'n': 16, 'alpha': 0.7, 'shap_error': 0.11386071163737722, 'shap_norm_sq': 1.4400000000000075, 'weighted_error': 1.0129412531578856, 'gamma': 5.444444444444414}
{'sample_size': 500, 'difference': 0, 'noise': 0, 'n': 16, 'alpha': 0.8, 'shap_error': 0.3123842933065255, 'shap_norm_sq': 0.640000000000003, 'weighted_error': 1.013420502706658, 'gamma': 15.999999999999927}
{'sample_size': 500, 'difference': 0, 'noise': 0, 'n': 16, 'alpha': 0.2, 'shap_error': 0.006433099137905517, 'shap_norm_sq': 10.239999999999993, 'weighted_error': 1.0052733362064854, 'gamma': 0.06250000000000003}
{'sample_size': 500, 'difference': 0, 'noise': 0, 'n': 16, 'alpha': 0.3, 'shap_error': 0.009749869050541227, 'shap_norm_sq': 7.84000000000001, 'weighted_error': 1.0096798426085019, 'gamma': 0.18367346938775472}
{'sample_size': 500, 'difference': 0, 'noise': 0, 'n': 16, 'alpha': 0.4, 'shap_error': 0.01730273120447295, 'shap_norm_sq': 5.760000000000002, 'weighted_error': 1.0145170827100634, 'gamma': 0.4444444444444443}
{'sample_size': 500, 'difference': 0, 'noise': 0, 'n': 16, 'alpha': 0.5, 'shap_error': 0.02909155222135157, 'shap_norm_sq': 3.999999999999991, 'weighted_error': 1.0134665522213517, 'gamma': 1.0000000000000018}
{'sample_size': 500, 'difference': 0, 'noise': 0, 'n': 16, 'alpha': 0.6, 'shap_error': 0.06377863032084505, 'shap_norm_sq': 2.5599999999999956, 'weighted_error': 1.0174953634759312, 'gamma': 2.2500000000000027}
{'sample_size': 500, 'difference': 0, 'noise': 0, 'n': 16, 'alpha': 0.7, 'shap_error': 0.16728789436462763, 'shap_norm_sq': 1.4400000000000075, 'weighted_error': 1.0227544091690135, 'gamma': 5.444444444444414}
{'sample_size': 500, 'difference': 0, 'noise': 0, 'n': 16, 'alpha': 0.8, 'shap_error': 0.44101734708403806, 'shap_norm_sq': 0.640000000000003, 'weighted_error': 1.0214600685677522, 'gamma': 15.999999999999927}
{'sample_size': 500, 'difference': 0, 'noise': 0, 'n': 16, 'alpha': 0.2, 'shap_error': 0.006557600366969602, 'shap_norm_sq': 10.239999999999993, 'weighted_error': 1.0072653558715103, 'gamma': 0.06250000000000003}
{'sample_size': 500, 'difference': 0, 'noise': 0, 'n': 16, 'alpha': 0.3, 'shap_error': 0.013826489018830879, 'shap_norm_sq': 7.84000000000001, 'weighted_error': 1.0318747735469673, 'gamma': 0.18367346938775472}
{'sample_size': 500, 'difference': 0, 'noise': 0, 'n': 16, 'alpha': 0.4, 'shap_error': 0.015752512713556436, 'shap_norm_sq': 5.760000000000002, 'weighted_error': 1.0110290911055015, 'gamma': 0.4444444444444443}
{'sample_size': 500, 'difference': 0, 'noise': 0, 'n': 16, 'alpha': 0.5, 'shap_error': 0.03749276984693045, 'shap_norm_sq': 3.999999999999991, 'weighted_error': 1.0218677698469296, 'gamma': 1.0000000000000018}
{'sample_size': 500, 'difference': 0, 'noise': 0, 'n': 16, 'alpha': 0.6, 'shap_error': 0.05690550538899827, 'shap_norm_sq': 2.5599999999999956, 'weighted_error': 1.014440641283999, 'gamma': 2.2500000000000027}
{'sample_size': 500, 'difference': 0, 'noise': 0, 'n': 16, 'alpha': 0.7, 'shap_error': 0.18599776350335714, 'shap_norm_sq': 1.4400000000000075, 'weighted_error': 1.0261909157455145, 'gamma': 5.444444444444414}
{'sample_size': 500, 'difference': 0, 'noise': 0, 'n': 16, 'alpha': 0.8, 'shap_error': 0.3688255572673516, 'shap_norm_sq': 0.640000000000003, 'weighted_error': 1.0169480817042094, 'gamma': 15.999999999999927}
{'sample_size': 500, 'difference': 0, 'noise': 0, 'n': 16, 'alpha': 0.2, 'shap_error': 0.007864115366039766, 'shap_norm_sq': 10.239999999999993, 'weighted_error': 1.0281695958566321, 'gamma': 0.06250000000000003}
{'sample_size': 500, 'difference': 0, 'noise': 0, 'n': 16, 'alpha': 0.3, 'shap_error': 0.009463771938974139, 'shap_norm_sq': 7.84000000000001, 'weighted_error': 1.0081222027788583, 'gamma': 0.18367346938775472}
{'sample_size': 500, 'difference': 0, 'noise': 0, 'n': 16, 'alpha': 0.4, 'shap_error': 0.013738551540985557, 'shap_norm_sq': 5.760000000000002, 'weighted_error': 1.0064976784672164, 'gamma': 0.4444444444444443}
{'sample_size': 500, 'difference': 0, 'noise': 0, 'n': 16, 'alpha': 0.5, 'shap_error': 0.04279707826287077, 'shap_norm_sq': 3.999999999999991, 'weighted_error': 1.0271720782628704, 'gamma': 1.0000000000000018}
{'sample_size': 500, 'difference': 0, 'noise': 0, 'n': 16, 'alpha': 0.6, 'shap_error': 0.0678055130204683, 'shap_norm_sq': 2.5599999999999956, 'weighted_error': 1.0192850891202077, 'gamma': 2.2500000000000027}
{'sample_size': 500, 'difference': 0, 'noise': 0, 'n': 16, 'alpha': 0.7, 'shap_error': 0.1089800824887177, 'shap_norm_sq': 1.4400000000000075, 'weighted_error': 1.0120448110693563, 'gamma': 5.444444444444414}
{'sample_size': 500, 'difference': 0, 'noise': 0, 'n': 16, 'alpha': 0.8, 'shap_error': 0.2137839788311828, 'shap_norm_sq': 0.640000000000003, 'weighted_error': 1.007257983051949, 'gamma': 15.999999999999927}
{'sample_size': 500, 'difference': 0, 'noise': 0, 'n': 16, 'alpha': 0.2, 'shap_error': 0.007071180672013037, 'shap_norm_sq': 10.239999999999993, 'weighted_error': 1.0154826407522057, 'gamma': 0.06250000000000003}
{'sample_size': 500, 'difference': 0, 'noise': 0, 'n': 16, 'alpha': 0.3, 'shap_error': 0.010741270998722564, 'shap_norm_sq': 7.84000000000001, 'weighted_error': 1.0150774754374887, 'gamma': 0.18367346938775472}
{'sample_size': 500, 'difference': 0, 'noise': 0, 'n': 16, 'alpha': 0.4, 'shap_error': 0.01831608283612002, 'shap_norm_sq': 5.760000000000002, 'weighted_error': 1.0167971238812692, 'gamma': 0.4444444444444443}
{'sample_size': 500, 'difference': 0, 'noise': 0, 'n': 16, 'alpha': 0.5, 'shap_error': 0.03132080652973661, 'shap_norm_sq': 3.999999999999991, 'weighted_error': 1.0156958065297363, 'gamma': 1.0000000000000018}
{'sample_size': 500, 'difference': 0, 'noise': 0, 'n': 16, 'alpha': 0.6, 'shap_error': 0.05793213041182573, 'shap_norm_sq': 2.5599999999999956, 'weighted_error': 1.0148969190719224, 'gamma': 2.2500000000000027}
{'sample_size': 500, 'difference': 0, 'noise': 0, 'n': 16, 'alpha': 0.7, 'shap_error': 0.3101541752704639, 'shap_norm_sq': 1.4400000000000075, 'weighted_error': 1.0489951546415135, 'gamma': 5.444444444444414}
