{'sample_size': 500, 'difference': 44, 'noise': 0, 'n': 16, 'alpha': 0.2, 'shap_error': 0.006269512624934333, 'shap_norm_sq': 10.239999999999993, 'weighted_error': 1.0026559519989466, 'gamma': 0.06250000000000003}
{'sample_size': 500, 'difference': 28, 'noise': 0, 'n': 16, 'alpha': 0.3, 'shap_error': 0.008357508638288179, 'shap_norm_sq': 7.84000000000001, 'weighted_error': 1.0020992136973461, 'gamma': 0.18367346938775472}
{'sample_size': 500, 'difference': -16, 'noise': 0, 'n': 16, 'alpha': 0.4, 'shap_error': 0.012611028405189214, 'shap_norm_sq': 5.760000000000002, 'weighted_error': 1.003960751411675, 'gamma': 0.4444444444444443}
{'sample_size': 500, 'difference': -10, 'noise': 0, 'n': 16, 'alpha': 0.5, 'shap_error': 0.018059604059568662, 'shap_norm_sq': 3.999999999999991, 'weighted_error': 1.0024346040595684, 'gamma': 1.0000000000000018}
{'sample_size': 500, 'difference': 32, 'noise': 0, 'n': 16, 'alpha': 0.6, 'shap_error': 0.030589911106496427, 'shap_norm_sq': 2.5599999999999956, 'weighted_error': 1.0027448216028871, 'gamma': 2.2500000000000027}
{'sample_size': 500, 'difference': 6, 'noise': 0, 'n': 16, 'alpha': 0.7, 'shap_error': 0.06267241652161443, 'shap_norm_sq': 1.4400000000000075, 'weighted_error': 1.003539321401929, 'gamma': 5.444444444444414}
{'sample_size': 500, 'difference': 2, 'noise': 0, 'n': 16, 'alpha': 0.8, 'shap_error': 0.16485802933086072, 'shap_norm_sq': 0.640000000000003, 'weighted_error': 1.0042001112081786, 'gamma': 15.999999999999927}
{'sample_size': 500, 'difference': 8, 'noise': 0, 'n': 16, 'alpha': 0.2, 'shap_error': 0.006405223653548324, 'shap_norm_sq': 10.239999999999993, 'weighted_error': 1.0048273284567695, 'gamma': 0.06250000000000003}
{'sample_size': 500, 'difference': 58, 'noise': 0, 'n': 16, 'alpha': 0.3, 'shap_error': 0.008497588085087328, 'shap_norm_sq': 7.84000000000001, 'weighted_error': 1.0028618684632524, 'gamma': 0.18367346938775472}
{'sample_size': 500, 'difference': 64, 'noise': 0, 'n': 16, 'alpha': 0.4, 'shap_error': 0.01159073617469152, 'shap_norm_sq': 5.760000000000002, 'weighted_error': 1.0016650938930554, 'gamma': 0.4444444444444443}
{'sample_size': 500, 'difference': -12, 'noise': 0, 'n': 16, 'alpha': 0.5, 'shap_error': 0.02095628371439189, 'shap_norm_sq': 3.999999999999991, 'weighted_error': 1.0053312837143917, 'gamma': 1.0000000000000018}
{'sample_size': 500, 'difference': -16, 'noise': 0, 'n': 16, 'alpha': 0.6, 'shap_error': 0.028350917362755957, 'shap_norm_sq': 2.5599999999999956, 'weighted_error': 1.001749713272336, 'gamma': 2.2500000000000027}
{'sample_size': 500, 'difference': 44, 'noise': 0, 'n': 16, 'alpha': 0.7, 'shap_error': 0.055856652538171424, 'shap_norm_sq': 1.4400000000000075, 'weighted_error': 1.0022874463845621, 'gamma': 5.444444444444414}
{'sample_size': 500, 'difference': 10, 'noise': 0, 'n': 16, 'alpha': 0.8, 'shap_error': 0.15924044498903922, 'shap_norm_sq': 0.640000000000003, 'weighted_error': 1.0038490121868144, 'gamma': 15.999999999999927}
{'sample_size': 500, 'difference': 48, 'noise': 0, 'n': 16, 'alpha': 0.2, 'shap_error': 0.0063179761606884915, 'shap_norm_sq': 10.239999999999993, 'weighted_error': 1.0034313685710132, 'gamma': 0.06250000000000003}
{'sample_size': 500, 'difference': -4, 'noise': 0, 'n': 16, 'alpha': 0.3, 'shap_error': 0.008587662108348616, 'shap_norm_sq': 7.84000000000001, 'weighted_error': 1.0033522714787857, 'gamma': 0.18367346938775472}
{'sample_size': 500, 'difference': -14, 'noise': 0, 'n': 16, 'alpha': 0.4, 'shap_error': 0.012136244947402697, 'shap_norm_sq': 5.760000000000002, 'weighted_error': 1.0028924886316555, 'gamma': 0.4444444444444443}
{'sample_size': 500, 'difference': -56, 'noise': 0, 'n': 16, 'alpha': 0.5, 'shap_error': 0.025014364312302296, 'shap_norm_sq': 3.999999999999991, 'weighted_error': 1.0093893643123018, 'gamma': 1.0000000000000018}
{'sample_size': 500, 'difference': 22, 'noise': 0, 'n': 16, 'alpha': 0.6, 'shap_error': 0.032926081251952365, 'shap_norm_sq': 2.5599999999999956, 'weighted_error': 1.0037831194453122, 'gamma': 2.2500000000000027}
{'sample_size': 500, 'difference': -12, 'noise': 0, 'n': 16, 'alpha': 0.7, 'shap_error': 0.0702522902277433, 'shap_norm_sq': 1.4400000000000075, 'weighted_error': 1.0049315431030552, 'gamma': 5.444444444444414}
{'sample_size': 500, 'difference': 10, 'noise': 0, 'n': 16, 'alpha': 0.8, 'shap_error': 0.1574140912485056, 'shap_norm_sq': 0.640000000000003, 'weighted_error': 1.0037348650780316, 'gamma': 15.999999999999927}
{'sample_size': 500, 'difference': 8, 'noise': 0, 'n': 16, 'alpha': 0.2, 'shap_error': 0.006236528824704927, 'shap_norm_sq': 10.239999999999993, 'weighted_error': 1.0021282111952756, 'gamma': 0.06250000000000003}
{'sample_size': 500, 'difference': 30, 'noise': 0, 'n': 16, 'alpha': 0.3, 'shap_error': 0.008592472640461686, 'shap_norm_sq': 7.84000000000001, 'weighted_error': 1.0033784621536237, 'gamma': 0.18367346938775472}
{'sample_size': 500, 'difference': 22, 'noise': 0, 'n': 16, 'alpha': 0.4, 'shap_error': 0.012018403473959946, 'shap_norm_sq': 5.760000000000002, 'weighted_error': 1.0026273453164094, 'gamma': 0.4444444444444443}
{'sample_size': 500, 'difference': -48, 'noise': 0, 'n': 16, 'alpha': 0.5, 'shap_error': 0.018238998293476028, 'shap_norm_sq': 3.999999999999991, 'weighted_error': 1.0026139982934759, 'gamma': 1.0000000000000018}
{'sample_size': 500, 'difference': 6, 'noise': 0, 'n': 16, 'alpha': 0.6, 'shap_error': 0.0373934286746128, 'shap_norm_sq': 2.5599999999999956, 'weighted_error': 1.0057686071887164, 'gamma': 2.2500000000000027}
{'sample_size': 500, 'difference': -32, 'noise': 0, 'n': 16, 'alpha': 0.7, 'shap_error': 0.05766158531322655, 'shap_norm_sq': 1.4400000000000075, 'weighted_error': 1.0026189646493682, 'gamma': 5.444444444444414}
{'sample_size': 500, 'difference': 38, 'noise': 0, 'n': 16, 'alpha': 0.8, 'shap_error': 0.1525952529508762, 'shap_norm_sq': 0.640000000000003, 'weighted_error': 1.0034336876844299, 'gamma': 15.999999999999927}
{'sample_size': 500, 'difference': -8, 'noise': 0, 'n': 16, 'alpha': 0.2, 'shap_error': 0.006275305366505335, 'shap_norm_sq': 10.239999999999993, 'weighted_error': 1.0027486358640818, 'gamma': 0.06250000000000003}
{'sample_size': 500, 'difference': -2, 'noise': 0, 'n': 16, 'alpha': 0.3, 'shap_error': 0.008301851493871373, 'shap_norm_sq': 7.84000000000001, 'weighted_error': 1.0017961914666325, 'gamma': 0.18367346938775472}
{'sample_size': 500, 'difference': 40, 'noise': 0, 'n': 16, 'alpha': 0.4, 'shap_error': 0.01186121845997886, 'shap_norm_sq': 5.760000000000002, 'weighted_error': 1.002273679034952, 'gamma': 0.4444444444444443}
{'sample_size': 500, 'difference': 10, 'noise': 0, 'n': 16, 'alpha': 0.5, 'shap_error': 0.02026737352342817, 'shap_norm_sq': 3.999999999999991, 'weighted_error': 1.004642373523428, 'gamma': 1.0000000000000018}
{'sample_size': 500, 'difference': -6, 'noise': 0, 'n': 16, 'alpha': 0.6, 'shap_error': 0.030647623654591557, 'shap_norm_sq': 2.5599999999999956, 'weighted_error': 1.0027704716242627, 'gamma': 2.2500000000000027}
{'sample_size': 500, 'difference': -2, 'noise': 0, 'n': 16, 'alpha': 0.7, 'shap_error': 0.06045388015587203, 'shap_norm_sq': 1.4400000000000075, 'weighted_error': 1.0031318351306704, 'gamma': 5.444444444444414}
{'sample_size': 500, 'difference': 10, 'noise': 0, 'n': 16, 'alpha': 0.8, 'shap_error': 0.16912635764123432, 'shap_norm_sq': 0.640000000000003, 'weighted_error': 1.0044668817275768, 'gamma': 15.999999999999927}
{'sample_size': 500, 'difference': 2, 'noise': 0, 'n': 16, 'alpha': 0.2, 'shap_error': 0.006370846047459132, 'shap_norm_sq': 10.239999999999993, 'weighted_error': 1.0042772867593424, 'gamma': 0.06250000000000003}
{'sample_size': 500, 'difference': 20, 'noise': 0, 'n': 16, 'alpha': 0.3, 'shap_error': 0.00822615655279387, 'shap_norm_sq': 7.84000000000001, 'weighted_error': 1.0013840745652107, 'gamma': 0.18367346938775472}
{'sample_size': 500, 'difference': 52, 'noise': 0, 'n': 16, 'alpha': 0.4, 'shap_error': 0.011820342245517843, 'shap_norm_sq': 5.760000000000002, 'weighted_error': 1.0021817075524142, 'gamma': 0.4444444444444443}
{'sample_size': 500, 'difference': -16, 'noise': 0, 'n': 16, 'alpha': 0.5, 'shap_error': 0.021949262409664144, 'shap_norm_sq': 3.999999999999991, 'weighted_error': 1.0063242624096638, 'gamma': 1.0000000000000018}
{'sample_size': 500, 'difference': 26, 'noise': 0, 'n': 16, 'alpha': 0.6, 'shap_error': 0.04074748401496408, 'shap_norm_sq': 2.5599999999999956, 'weighted_error': 1.007259298451095, 'gamma': 2.2500000000000027}
{'sample_size': 500, 'difference': -8, 'noise': 0, 'n': 16, 'alpha': 0.7, 'shap_error': 0.06154688886528701, 'shap_norm_sq': 1.4400000000000075, 'weighted_error': 1.0033325918323996, 'gamma': 5.444444444444414}
{'sample_size': 500, 'difference': 12, 'noise': 0, 'n': 16, 'alpha': 0.8, 'shap_error': 0.19899061068282184, 'shap_norm_sq': 0.640000000000003, 'weighted_error': 1.006333397542676, 'gamma': 15.999999999999927}
{'sample_size': 500, 'difference': 2, 'noise': 0, 'n': 16, 'alpha': 0.2, 'shap_error': 0.006209957133418604, 'shap_norm_sq': 10.239999999999993, 'weighted_error': 1.001703064134695, 'gamma': 0.06250000000000003}
{'sample_size': 500, 'difference': 0, 'noise': 0, 'n': 16, 'alpha': 0.3, 'shap_error': 0.008643400965211573, 'shap_norm_sq': 7.84000000000001, 'weighted_error': 1.003655738588373, 'gamma': 0.18367346938775472}
{'sample_size': 500, 'difference': -16, 'noise': 0, 'n': 16, 'alpha': 0.4, 'shap_error': 0.015084386707796152, 'shap_norm_sq': 5.760000000000002, 'weighted_error': 1.0095258075925408, 'gamma': 0.4444444444444443}
{'sample_size': 500, 'difference': 44, 'noise': 0, 'n': 16, 'alpha': 0.5, 'shap_error': 0.017231534620336764, 'shap_norm_sq': 3.999999999999991, 'weighted_error': 1.0016065346203364, 'gamma': 1.0000000000000018}
{'sample_size': 500, 'difference': 32, 'noise': 0, 'n': 16, 'alpha': 0.6, 'shap_error': 0.030878237692167188, 'shap_norm_sq': 2.5599999999999956, 'weighted_error': 1.0028729667520742, 'gamma': 2.2500000000000027}
{'sample_size': 500, 'difference': 68, 'noise': 0, 'n': 16, 'alpha': 0.7, 'shap_error': 0.05248621850225755, 'shap_norm_sq': 1.4400000000000075, 'weighted_error': 1.0016683870718432, 'gamma': 5.444444444444414}
