{'sample_size': 500, 'difference': 2, 'noise': 0, 'n': 16, 'alpha': 0.2, 'shap_error': 0.0063004184104917225, 'shap_norm_sq': 10.239999999999993, 'weighted_error': 1.0031504445678645, 'gamma': 0.06250000000000003}
{'sample_size': 500, 'difference': 2, 'noise': 0, 'n': 16, 'alpha': 0.3, 'shap_error': 0.008220828574653075, 'shap_norm_sq': 7.84000000000001, 'weighted_error': 1.0013550666842215, 'gamma': 0.18367346938775472}
{'sample_size': 500, 'difference': 2, 'noise': 0, 'n': 16, 'alpha': 0.4, 'shap_error': 0.012372172412685558, 'shap_norm_sq': 5.760000000000002, 'weighted_error': 1.0034233254285416, 'gamma': 0.4444444444444443}
{'sample_size': 500, 'difference': 2, 'noise': 0, 'n': 16, 'alpha': 0.5, 'shap_error': 0.020681105197112557, 'shap_norm_sq': 3.999999999999991, 'weighted_error': 1.005056105197112, 'gamma': 1.0000000000000018}
{'sample_size': 500, 'difference': 2, 'noise': 0, 'n': 16, 'alpha': 0.6, 'shap_error': 0.033893445856864386, 'shap_norm_sq': 2.5599999999999956, 'weighted_error': 1.0042130592697174, 'gamma': 2.2500000000000027}
{'sample_size': 500, 'difference': 2, 'noise': 0, 'n': 16, 'alpha': 0.7, 'shap_error': 0.064706138813349, 'shap_norm_sq': 1.4400000000000075, 'weighted_error': 1.0039128622310232, 'gamma': 5.444444444444414}
{'sample_size': 500, 'difference': 2, 'noise': 0, 'n': 16, 'alpha': 0.8, 'shap_error': 0.13406413832545688, 'shap_norm_sq': 0.640000000000003, 'weighted_error': 1.0022754930203408, 'gamma': 15.999999999999927}
{'sample_size': 500, 'difference': 2, 'noise': 0, 'n': 16, 'alpha': 0.2, 'shap_error': 0.006244836830659086, 'shap_norm_sq': 10.239999999999993, 'weighted_error': 1.0022611392905425, 'gamma': 0.06250000000000003}
{'sample_size': 500, 'difference': 2, 'noise': 0, 'n': 16, 'alpha': 0.3, 'shap_error': 0.008760166470258192, 'shap_norm_sq': 7.84000000000001, 'weighted_error': 1.004291461893627, 'gamma': 0.18367346938775472}
{'sample_size': 500, 'difference': 2, 'noise': 0, 'n': 16, 'alpha': 0.4, 'shap_error': 0.011899434665599565, 'shap_norm_sq': 5.760000000000002, 'weighted_error': 1.0023596654975984, 'gamma': 0.4444444444444443}
{'sample_size': 500, 'difference': 2, 'noise': 0, 'n': 16, 'alpha': 0.5, 'shap_error': 0.01853211318335439, 'shap_norm_sq': 3.999999999999991, 'weighted_error': 1.0029071131833542, 'gamma': 1.0000000000000018}
{'sample_size': 500, 'difference': 2, 'noise': 0, 'n': 16, 'alpha': 0.6, 'shap_error': 0.031035574060424537, 'shap_norm_sq': 2.5599999999999956, 'weighted_error': 1.002942894026855, 'gamma': 2.2500000000000027}
{'sample_size': 500, 'difference': 2, 'noise': 0, 'n': 16, 'alpha': 0.7, 'shap_error': 0.054041223118029294, 'shap_norm_sq': 1.4400000000000075, 'weighted_error': 1.001954000164536, 'gamma': 5.444444444444414}
{'sample_size': 500, 'difference': 2, 'noise': 0, 'n': 16, 'alpha': 0.8, 'shap_error': 0.16526702358248166, 'shap_norm_sq': 0.640000000000003, 'weighted_error': 1.0042256733489048, 'gamma': 15.999999999999927}
{'sample_size': 500, 'difference': 2, 'noise': 0, 'n': 16, 'alpha': 0.2, 'shap_error': 0.006265709256909823, 'shap_norm_sq': 10.239999999999993, 'weighted_error': 1.002595098110554, 'gamma': 0.06250000000000003}
{'sample_size': 500, 'difference': 2, 'noise': 0, 'n': 16, 'alpha': 0.3, 'shap_error': 0.008597587064869551, 'shap_norm_sq': 7.84000000000001, 'weighted_error': 1.0034063073531778, 'gamma': 0.18367346938775472}
{'sample_size': 500, 'difference': 2, 'noise': 0, 'n': 16, 'alpha': 0.4, 'shap_error': 0.012747410760684199, 'shap_norm_sq': 5.760000000000002, 'weighted_error': 1.0042676117115388, 'gamma': 0.4444444444444443}
{'sample_size': 500, 'difference': 2, 'noise': 0, 'n': 16, 'alpha': 0.5, 'shap_error': 0.0192363775257404, 'shap_norm_sq': 3.999999999999991, 'weighted_error': 1.00361137752574, 'gamma': 1.0000000000000018}
{'sample_size': 500, 'difference': 2, 'noise': 0, 'n': 16, 'alpha': 0.6, 'shap_error': 0.031706172142389015, 'shap_norm_sq': 2.5599999999999956, 'weighted_error': 1.0032409376188394, 'gamma': 2.2500000000000027}
{'sample_size': 500, 'difference': 2, 'noise': 0, 'n': 16, 'alpha': 0.7, 'shap_error': 0.05719323566174942, 'shap_norm_sq': 1.4400000000000075, 'weighted_error': 1.0025329412439947, 'gamma': 5.444444444444414}
{'sample_size': 500, 'difference': 2, 'noise': 0, 'n': 16, 'alpha': 0.8, 'shap_error': 0.20981126880524464, 'shap_norm_sq': 0.640000000000003, 'weighted_error': 1.007009688675328, 'gamma': 15.999999999999927}
{'sample_size': 500, 'difference': 2, 'noise': 0, 'n': 16, 'alpha': 0.2, 'shap_error': 0.006345547029375669, 'shap_norm_sq': 10.239999999999993, 'weighted_error': 1.0038725024700075, 'gamma': 0.06250000000000003}
{'sample_size': 500, 'difference': 2, 'noise': 0, 'n': 16, 'alpha': 0.3, 'shap_error': 0.008968704419208067, 'shap_norm_sq': 7.84000000000001, 'weighted_error': 1.005426835171243, 'gamma': 0.18367346938775472}
{'sample_size': 500, 'difference': 2, 'noise': 0, 'n': 16, 'alpha': 0.4, 'shap_error': 0.012271982428270784, 'shap_norm_sq': 5.760000000000002, 'weighted_error': 1.003197897963609, 'gamma': 0.4444444444444443}
{'sample_size': 500, 'difference': 2, 'noise': 0, 'n': 16, 'alpha': 0.5, 'shap_error': 0.018900230253905224, 'shap_norm_sq': 3.999999999999991, 'weighted_error': 1.003275230253905, 'gamma': 1.0000000000000018}
